text,scraped_at,source
"I will vote BLUE in November, assuming there will STILL be an election, and hoping it's not completely RIGGED for the GOP. The entire GOP is a CRIME SYNDICATE of PEDOPHILES. But I've lost FAITH in all ""old school"" Democrats. Not only did they ALLOW this fascist nightmare to",2026-06-06 08:37:13,@Michell33650674
"Iran-US talks at deadlock: Khamenei advisor demands Trump act independently of Israel Iran-US nuclear talks are at a deadlock, says Khamenei advisor Mohsen Rezaei, urging Trump to release frozen assets and lift the Strait of Hormuz blockade.",2026-06-06 08:37:11,@np_nationpress
This story is bigger than you realize Donald Trump and Elon Musk are involved and the main reason why the Screwworm came back for the first time after 60 years. D9msuWXNknQmyuvbL8EKejz8Vbps3CseiQDdBDr4pump,2026-06-06 08:37:11,@bleshgod
"But why, is he doing service under Delhi leadership? According to him, congress is a South Indian party?",2026-06-06 08:37:09,@jr_tony9999
This war in Iran is the worst foreign policy blunder since Iraq. via Please read and then get rid of Trump!,2026-06-06 08:37:09,@atac64
Iran won’t blockade the strait after we leave cause they don’t want us to bomb them. We can instantly re-establish air superiority since their heavy infastructure is destroyed. Also none of Irans allies (if they have any left) support the precedent of taxing shipping lanes.,2026-06-06 08:37:01,@LudwigNverMises
Iranian journalist stabbed in Wimbledon on orders of Tehran claims police failed to act on earlier threat - after one of his attackers was arrested a year before,2026-06-06 08:37:00,@DailyMail
"I will vote BLUE in November, assuming there will STILL be an election, and hoping it's not completely RIGGED for the GOP. The entire GOP is a CRIME SYNDICATE of PEDOPHILES. But I've lost FAITH in all ""old school"" Democrats. Not only did they ALLOW this fascist nightmare to",2026-06-06 08:37:00,@Michell33650674
"Bahrain condemns Iranian missile attacks targeting Bahrain and Kuwait, saying seven missiles were intercepted by the two Gulf states.",2026-06-06 08:36:59,@ILRedAlert
DEAN: You're under oath. When will you comply with the law and release all the Epstein files? BLANCHE: We have complied with the law DEAN: There are 3 million more documents. #epsteinfiles #epstein #congress #underoath #usa #nsfwacc #rahmikoç,2026-06-06 08:36:56,@Justice4U8
"My account was sold to the highest bidders on the black market, but it doesn’t translate to Iran being “closer to having a nuclear weapon than we thought”, and it definitely doesn’t mean that my family &amp; I, specifically my African-American dad, are responsible for the sale",2026-06-06 08:36:55,@sensory_xena
the American Congress just voted to merge the American and Israeli military. this is not satire. the American Congress just voted to merge the American and Israeli military. the American Congress just voted to merge the American and Israeli military. this is not satire.,2026-06-06 08:36:53,@CuriumGray
"BREAKING SPECIAL REPORT: THE 2028 STRATEGY – How The System Is Reorganizing To Stop Vance And Recapture Trump’s America – A STRATEGY ALREADY IN MOTION, NOT A FUTURE SCENARIO A coordinated elite operation is underway to destroy JD Vance, fracture MAGA, and seize control of",2026-06-06 08:36:52,@FitzgeraldJr17
And he called President Biden sleepy Joe?,2026-06-06 08:36:50,@RogerSh39438229
"President Trump, PM Netanyahu, stop the executions /killings in IRAN, by the installed &amp; supported islamofascist islamic toilet regime by DEMS/RINO/CIA US GOVT. ESTABLISHMENT, THE 1979 IRAN REGIME CHANGE. END THE ISLAMOFASCIST REGIME. AT THE END, THE BLOOD IS ON YOU, AMERICA.",2026-06-06 08:36:49,@armon1825
"BREAKING: US STRIKES IRAN AGAIN, MAJOR RETALIATIONS EXPECTED SOON - w/ F... via",2026-06-06 08:36:47,@AstaYang1030
Trump Tightens the Screws: Sanctions Target Cuba's Castro Family and Figurehead 'President',2026-06-06 08:36:47,@helarctos
Hunter Biden doing the parable of the lost son on twitter,2026-06-06 08:36:46,@thorn_of_pride
"A reminder that Trump is putting 15 % tariffs on the UK for forced Labour, a real ""trumped"" up charge .The real forced labour is the USA , where it is very much part of their built in production .",2026-06-06 08:36:45,@hello_late
The Ren &amp; Stimpy Show - Happy Happy Joy Joy via Here’s the Ren &amp; Stimpy Happy Happy Joy Joy dance I feel like doing whenever someone from the Trump Team detonates a Truth Bomb during congressional hearings. Hahaha Happy Happy Joy Joy. 😂,2026-06-06 08:36:43,@DrYllana
"Wasting time &amp; tax money spent on fake image building #US If ya throw out like EVERYTHING that truly amounts to centuries of experience, knowledge, &amp; strength, than left with A small circle weak but loyal (never truly safe itself) Real Family trip to renovation 🤣 #trump 👇",2026-06-06 08:36:43,@TTBOYCAT
WOW: This is the Memorial Day message released from the Pentagon. Where'... via,2026-06-06 08:36:41,@DocAndersen
bjp should be sacked #india #youthforviksitbharat #cjpprotest #congress,2026-06-06 08:36:40,@Maryam_Nazarr
#xauusd #gold #crypto The market never sleeps — and neither does the opportunity. I’m a futures trader dropping my personal high-probability setups with exact entries and exits for free. 🚨 $GT $TRUMP 8v7j2a,2026-06-06 08:36:39,@Lurker50627012
"Iran, the War, &amp; the Bomb | Ali Alizadeh - Podcast &amp; Co. via",2026-06-06 08:36:35,@callmefree1
